127.0.0.1 - - [03/May/2016:10:19:14 -0500] "GET / HTTP/1.1" 404 961
0:0:0:0:0:0:0:1 - - [03/May/2016:10:19:15 -0500] "GET /GDI/index.jsp HTTP/1.1" 200 232
0:0:0:0:0:0:0:1 - - [03/May/2016:10:19:15 -0500] "GET /GDI/Login/validarSession.action HTTP/1.1" 200 1803
0:0:0:0:0:0:0:1 - - [03/May/2016:10:19:22 -0500] "POST /GDI/Login/Login HTTP/1.1" 200 1821
0:0:0:0:0:0:0:1 - - [03/May/2016:10:19:27 -0500] "POST /GDI/Login/Login HTTP/1.1" 200 8906
0:0:0:0:0:0:0:1 - - [03/May/2016:10:19:29 -0500] "GET /GDI/Seguimiento/Seguimiento HTTP/1.1" 200 8425
0:0:0:0:0:0:0:1 - - [03/May/2016:10:20:31 -0500] "GET /GDI/Seguimiento/Seguimiento HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/May/2016:10:20:31 -0500] "GET /GDI/Parcial/FormularioLogin.action HTTP/1.1" 200 3320
0:0:0:0:0:0:0:1 - - [03/May/2016:10:20:33 -0500] "GET /favicon.ico HTTP/1.1" 404 983
0:0:0:0:0:0:0:1 - - [03/May/2016:10:20:33 -0500] "GET /favicon.ico HTTP/1.1" 404 983
0:0:0:0:0:0:0:1 - - [03/May/2016:10:20:39 -0500] "GET /GDI/Parcial/FormularioLogin.action HTTP/1.1" 200 3320
0:0:0:0:0:0:0:1 - - [03/May/2016:10:20:54 -0500] "GET /GDI/Seguimiento/Seguimiento HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/May/2016:10:20:54 -0500] "GET /GDI/Parcial/FormularioLogin.action HTTP/1.1" 200 3320
0:0:0:0:0:0:0:1 - - [03/May/2016:10:22:21 -0500] "GET /GDI/Seguimiento/Seguimiento HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/May/2016:10:22:21 -0500] "GET /GDI/Login/FormularioLogin.action HTTP/1.1" 200 1803
0:0:0:0:0:0:0:1 - - [03/May/2016:10:22:22 -0500] "GET /GDI/css/estilos.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2016:10:22:22 -0500] "GET /GDI/css/bootstrap/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2016:10:22:22 -0500] "GET /GDI/css/animate/animate.css HTTP/1.1" 200 72259
0:0:0:0:0:0:0:1 - - [03/May/2016:10:22:22 -0500] "GET /GDI/css/font-awesome/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2016:10:22:22 -0500] "GET /GDI/css/color.css HTTP/1.1" 200 519
0:0:0:0:0:0:0:1 - - [03/May/2016:10:22:22 -0500] "GET /GDI/css/fuentes.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2016:10:22:22 -0500] "GET /GDI/css/form.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2016:10:22:22 -0500] "GET /GDI/css/bootstrap/bootstrap-theme.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2016:10:22:22 -0500] "GET /GDI/css/layout.css HTTP/1.1" 200 585
0:0:0:0:0:0:0:1 - - [03/May/2016:10:22:22 -0500] "GET /GDI/css/header.css HTTP/1.1" 200 2890
0:0:0:0:0:0:0:1 - - [03/May/2016:10:22:22 -0500] "GET /GDI/fonts/bootstrap/glyphicons-halflings-regular.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2016:10:22:37 -0500] "POST /GDI/Login/Login HTTP/1.1" 200 8906
0:0:0:0:0:0:0:1 - - [03/May/2016:10:22:37 -0500] "GET /GDI/css/formValidation/formValidation.min.css HTTP/1.1" 200 1916
0:0:0:0:0:0:0:1 - - [03/May/2016:10:22:37 -0500] "GET /GDI/js/librerias/formValidation/formValidation.min.js HTTP/1.1" 200 119960
0:0:0:0:0:0:0:1 - - [03/May/2016:10:22:37 -0500] "GET /GDI/js/librerias/formValidation/framework/bootstrap.min.js HTTP/1.1" 200 3260
0:0:0:0:0:0:0:1 - - [03/May/2016:10:22:37 -0500] "GET /GDI/js/librerias/detectMovil.js HTTP/1.1" 200 2217
0:0:0:0:0:0:0:1 - - [03/May/2016:10:22:37 -0500] "GET /GDI/js/librerias/jquery-2.2.3.min.js.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2016:10:22:37 -0500] "GET /GDI/js/librerias/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2016:10:22:37 -0500] "GET /GDI/js/general.js HTTP/1.1" 200 2631
0:0:0:0:0:0:0:1 - - [03/May/2016:10:22:37 -0500] "GET /GDI/fonts/font-awesome/fontawesome-webfont.woff2?v=4.6.1 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2016:10:22:40 -0500] "GET /GDI/Seguimiento/Seguimiento HTTP/1.1" 200 8425
0:0:0:0:0:0:0:1 - - [03/May/2016:10:22:44 -0500] "GET /GDI/Parcial/FormularioAdministrador HTTP/1.1" 200 6678
0:0:0:0:0:0:0:1 - - [03/May/2016:10:22:44 -0500] "GET /GDI/img/reporte.png HTTP/1.1" 200 10430
0:0:0:0:0:0:0:1 - - [03/May/2016:10:22:44 -0500] "GET /GDI/img/configuracion.png HTTP/1.1" 200 19574
0:0:0:0:0:0:0:1 - - [03/May/2016:10:22:44 -0500] "GET /GDI/img/incidencia.png HTTP/1.1" 200 2917
0:0:0:0:0:0:0:1 - - [03/May/2016:10:22:44 -0500] "GET /GDI/img/user.png HTTP/1.1" 200 23240
0:0:0:0:0:0:0:1 - - [03/May/2016:10:22:46 -0500] "GET /GDI/Usuario/Usuarios HTTP/1.1" 200 5247
0:0:0:0:0:0:0:1 - - [03/May/2016:10:22:48 -0500] "GET /GDI/Usuario/RegistroUsuario HTTP/1.1" 200 5281
0:0:0:0:0:0:0:1 - - [03/May/2016:10:22:49 -0500] "GET /GDI/Seguimiento/Seguimiento HTTP/1.1" 200 8425
0:0:0:0:0:0:0:1 - - [03/May/2016:10:22:51 -0500] "GET /GDI/Parcial/FormularioPrincipal HTTP/1.1" 200 8906
0:0:0:0:0:0:0:1 - - [03/May/2016:10:22:55 -0500] "GET /GDI/Parcial/FormularioPrincipal HTTP/1.1" 200 8906
0:0:0:0:0:0:0:1 - - [03/May/2016:10:22:55 -0500] "GET /GDI/Parcial/FormularioAdministrador HTTP/1.1" 200 6678
0:0:0:0:0:0:0:1 - - [03/May/2016:11:01:16 -0500] "GET /GDI/Usuario/Usuarios HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/May/2016:11:01:16 -0500] "GET /GDI/Parcial/FormularioLogin.action HTTP/1.1" 200 3320
0:0:0:0:0:0:0:1 - - [03/May/2016:11:01:25 -0500] "GET /GDI/Parcial/FormularioPrincipal HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/May/2016:11:01:25 -0500] "GET /GDI/Login/Login.jsp HTTP/1.1" 200 1803
0:0:0:0:0:0:0:1 - - [03/May/2016:11:01:30 -0500] "POST /GDI/Login/Login HTTP/1.1" 200 8906
0:0:0:0:0:0:0:1 - - [03/May/2016:11:01:33 -0500] "GET /GDI/Seguimiento/Seguimiento HTTP/1.1" 200 8425
0:0:0:0:0:0:0:1 - - [03/May/2016:11:01:35 -0500] "GET /GDI/Usuario/RegistroUsuario HTTP/1.1" 200 5281
0:0:0:0:0:0:0:1 - - [03/May/2016:11:01:36 -0500] "GET /GDI/Parcial/FormularioAdministrador HTTP/1.1" 200 6678
0:0:0:0:0:0:0:1 - - [03/May/2016:11:01:37 -0500] "GET /GDI/Usuario/Usuarios HTTP/1.1" 200 5247
0:0:0:0:0:0:0:1 - - [03/May/2016:11:01:40 -0500] "GET /GDI/Usuario/RegistroUsuario HTTP/1.1" 200 5281
0:0:0:0:0:0:0:1 - - [03/May/2016:11:01:43 -0500] "GET /GDI/Parcial/FormularioPrincipal HTTP/1.1" 200 8906
0:0:0:0:0:0:0:1 - - [03/May/2016:11:01:44 -0500] "GET /GDI/Parcial/FormularioAdministrador HTTP/1.1" 200 6678
0:0:0:0:0:0:0:1 - - [03/May/2016:11:01:45 -0500] "GET /GDI/Usuario/RegistroUsuario HTTP/1.1" 200 5281
0:0:0:0:0:0:0:1 - - [03/May/2016:11:01:46 -0500] "GET /GDI/Parcial/FormularioPrincipal HTTP/1.1" 200 8906
0:0:0:0:0:0:0:1 - - [03/May/2016:11:01:47 -0500] "GET /GDI/Parcial/FormularioAdministrador HTTP/1.1" 200 6678
0:0:0:0:0:0:0:1 - - [03/May/2016:11:01:49 -0500] "GET /GDI/Usuario/Usuarios HTTP/1.1" 200 5247
0:0:0:0:0:0:0:1 - - [03/May/2016:11:01:50 -0500] "GET /GDI/Parcial/FormularioPrincipal HTTP/1.1" 200 8906
0:0:0:0:0:0:0:1 - - [03/May/2016:11:01:52 -0500] "GET /GDI/Usuario/RegistroUsuario HTTP/1.1" 200 5281
